,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
101,20000430,Consumer Staples,262,-0.039744,0.023887000000000002,0.121,0.29100000000000004,0.628,13.343,2.23,7.746,5.796,10.398,10.186,10.776,10.417,0.49,1.541,0.375,0.466,0.10300000000000001,0.096,0.10099999999999999,0.348,0.023,0.055999999999999994,0.086,0.11800000000000001,0.177,0.034,0.138,0.129,0.096,0.373,0.6,0.375,0.511,0.445,0.33299999999999996,0.406,0.337,0.133,0.045,0.061,0.16399999999999998,0.568,0.466,1.932,0.5429999999999999,0.09699999999999999,0.077,0.41100000000000003,1.7180000000000002,1.3530000000000002,0.603,0.33299999999999996,0.5429999999999999,2.311,3.2689999999999997,61.816,0.109,1.595,0.83,1.432,5.3839999999999995,10.023,10.894,3.8819999999999997,2.261,8.562000000000001,0.046,0.0,0.0,0.0,0.535,0.887
111,20000531,Consumer Staples,261,0.009523,0.090331,0.10800000000000001,0.24100000000000002,0.586,13.395999999999999,2.06,7.928999999999999,5.416,10.503,10.15,10.312999999999999,10.455,0.48200000000000004,1.5490000000000002,0.376,0.478,0.10099999999999999,0.1,0.08900000000000001,0.33899999999999997,0.025,0.057,0.09,0.115,0.174,0.037000000000000005,0.138,0.126,0.099,0.38,0.599,0.375,0.511,0.441,0.332,0.38799999999999996,0.314,0.135,0.043,0.063,0.166,0.557,0.474,2.033,0.5660000000000001,0.099,0.076,0.408,1.6980000000000002,1.3559999999999999,0.601,0.348,0.534,2.234,2.9589999999999996,65.381,0.1,1.57,0.8240000000000001,1.425,5.447,9.715,10.89,3.968,2.211,8.638,0.04,0.0,0.0,0.0,0.434,0.909
121,20000630,Consumer Staples,257,0.011470000000000001,0.017204,0.115,0.239,0.583,13.116,2.14,8.024,5.207999999999999,10.547,10.2,10.272,10.385,0.479,1.569,0.377,0.486,0.10099999999999999,0.098,0.092,0.341,0.025,0.057999999999999996,0.08900000000000001,0.11599999999999999,0.172,0.037000000000000005,0.13699999999999998,0.129,0.09699999999999999,0.381,0.599,0.38,0.516,0.441,0.332,0.35200000000000004,0.312,0.138,0.043,0.062,0.155,0.552,0.46399999999999997,2.033,0.5660000000000001,0.098,0.075,0.41,1.6980000000000002,1.379,0.601,0.348,0.54,2.234,3.017,64.596,0.1,1.565,0.8190000000000001,1.443,5.447,9.782,10.92,3.988,2.227,8.652999999999999,0.039,0.0,0.0,0.0,0.34600000000000003,0.873
131,20000731,Consumer Staples,256,-0.002309,-0.007921,0.091,0.233,0.608,13.212,2.23,7.904,5.337999999999999,10.534,10.032,9.626,9.705,0.479,1.575,0.37799999999999995,0.485,0.10099999999999999,0.1,0.09300000000000001,0.341,0.025,0.057,0.08800000000000001,0.11599999999999999,0.17,0.038,0.136,0.131,0.09699999999999999,0.389,0.595,0.389,0.528,0.43799999999999994,0.32899999999999996,0.35200000000000004,0.314,0.135,0.042,0.062,0.157,0.532,0.46399999999999997,1.9969999999999999,0.598,0.098,0.076,0.41200000000000003,1.712,1.385,0.601,0.34700000000000003,0.541,2.239,2.988,63.486999999999995,0.10099999999999999,1.568,0.8220000000000001,1.439,5.4510000000000005,9.832,10.9,4.069,2.239,8.67,0.038,0.0,0.0,0.0,0.375,0.9520000000000001
141,20000831,Consumer Staples,253,0.019855,-0.013772,0.128,0.21100000000000002,0.63,13.365,2.27,7.734,5.739,10.231,10.463,9.946,9.975,0.46799999999999997,1.486,0.375,0.475,0.091,0.083,0.085,0.33799999999999997,0.024,0.055,0.086,0.11699999999999999,0.174,0.036000000000000004,0.132,0.121,0.083,0.391,0.593,0.389,0.534,0.446,0.331,0.381,0.315,0.131,0.040999999999999995,0.061,0.156,0.517,0.45899999999999996,2.039,0.578,0.098,0.077,0.41,1.7280000000000002,1.426,0.606,0.354,0.534,2.166,2.889,63.571999999999996,0.102,1.565,0.813,1.46,5.489,9.889,10.828,4.109,2.285,8.818,0.038,0.0,0.0,0.0,0.358,0.9109999999999999
151,20000930,Consumer Staples,252,0.005173,0.04238,0.128,0.215,0.63,12.966,2.11,7.72,5.627000000000001,10.029,9.93,9.451,9.6,0.449,1.5519999999999998,0.375,0.475,0.099,0.09300000000000001,0.085,0.33799999999999997,0.023,0.054000000000000006,0.086,0.11800000000000001,0.174,0.036000000000000004,0.133,0.122,0.085,0.39,0.594,0.38799999999999996,0.532,0.446,0.33299999999999996,0.405,0.316,0.129,0.043,0.061,0.161,0.517,0.46,2.053,0.578,0.098,0.077,0.409,1.719,1.412,0.606,0.35200000000000004,0.536,2.255,2.9330000000000003,65.286,0.099,1.561,0.8140000000000001,1.449,5.477,9.854,10.799000000000001,4.0760000000000005,2.276,8.844,0.038,0.0,0.0,0.0,0.34299999999999997,0.897
161,20001031,Consumer Staples,248,-0.03266,0.11018499999999999,0.11199999999999999,0.18600000000000003,0.6409999999999999,13.07,2.08,7.723,5.837999999999999,9.975,10.01,9.581,9.647,0.441,1.46,0.373,0.475,0.099,0.096,0.087,0.32799999999999996,0.024,0.054000000000000006,0.086,0.11900000000000001,0.174,0.036000000000000004,0.132,0.12,0.087,0.375,0.598,0.375,0.544,0.446,0.336,0.43799999999999994,0.315,0.131,0.043,0.062,0.155,0.506,0.45899999999999996,2.068,0.5760000000000001,0.1,0.076,0.409,1.709,1.36,0.605,0.355,0.535,2.25,2.877,64.956,0.09699999999999999,1.55,0.813,1.453,5.465,9.765,10.92,4.042,2.2840000000000003,8.777000000000001,0.038,0.0,0.0,0.0,0.326,0.9640000000000001
171,20001130,Consumer Staples,247,-0.034147000000000004,0.037291000000000005,0.051,0.244,0.649,12.444,1.97,7.643,5.44,10.349,10.104,10.207,10.517000000000001,0.379,1.369,0.371,0.494,0.094,0.094,0.08900000000000001,0.33299999999999996,0.021,0.051,0.08,0.11599999999999999,0.16899999999999998,0.033,0.132,0.115,0.086,0.374,0.5920000000000001,0.385,0.562,0.44,0.336,0.397,0.29,0.124,0.043,0.057,0.168,0.493,0.465,2.204,0.556,0.10300000000000001,0.08,0.401,1.74,1.399,0.609,0.353,0.5579999999999999,2.115,2.702,62.15,0.095,1.541,0.804,1.464,5.559,9.775,10.92,4.194,2.351,8.44,0.045,0.0,0.0,0.0,0.311,1.0390000000000001
181,20001231,Consumer Staples,239,0.000123,0.039792,0.044000000000000004,0.252,0.648,13.062999999999999,2.22,7.515,5.357,10.398,10.169,10.329,10.655,0.37200000000000005,1.3459999999999999,0.37,0.501,0.095,0.095,0.095,0.322,0.021,0.05,0.08,0.11599999999999999,0.16899999999999998,0.032,0.133,0.12,0.08900000000000001,0.36700000000000005,0.608,0.37200000000000005,0.5589999999999999,0.44299999999999995,0.33,0.39899999999999997,0.29600000000000004,0.126,0.044000000000000004,0.054000000000000006,0.174,0.488,0.478,2.131,0.555,0.10300000000000001,0.08,0.387,1.715,1.3969999999999998,0.606,0.35100000000000003,0.5539999999999999,2.17,2.7110000000000003,60.294,0.095,1.525,0.795,1.4769999999999999,5.559,9.775,10.955,4.213,2.405,8.464,0.047,0.0,0.0,0.0,0.32799999999999996,1.111
191,20010131,Consumer Staples,237,0.129888,-0.052805,0.079,0.266,0.6629999999999999,14.373,2.08,7.52,5.957999999999999,10.852,10.546,10.945,11.581,0.423,1.472,0.37,0.501,0.095,0.09300000000000001,0.094,0.336,0.021,0.051,0.08,0.11599999999999999,0.166,0.032,0.134,0.122,0.08900000000000001,0.366,0.596,0.37200000000000005,0.562,0.442,0.32799999999999996,0.39899999999999997,0.29100000000000004,0.131,0.045,0.054000000000000006,0.196,0.511,0.478,2.1630000000000003,0.56,0.10400000000000001,0.08,0.387,1.729,1.393,0.605,0.35200000000000004,0.5539999999999999,2.17,2.753,64.535,0.095,1.525,0.787,1.4769999999999999,5.55,9.812999999999999,10.955,4.155,2.385,8.468,0.049,0.0,0.0,0.0,0.268,1.037
