,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
107,20000430,Materials,276,-0.034589999999999996,-0.036356,0.175,0.222,0.7440000000000001,10.408,2.32,7.0729999999999995,5.72,9.609,9.515,9.434,9.798,0.513,1.255,0.365,0.22899999999999998,0.091,0.08900000000000001,0.085,0.254,0.033,0.075,0.132,0.09,0.12300000000000001,0.052000000000000005,0.11800000000000001,0.102,0.079,0.41600000000000004,0.565,0.413,0.48700000000000004,0.392,0.408,0.327,0.344,0.109,0.026000000000000002,0.083,0.11199999999999999,0.568,0.345,2.484,0.608,0.091,0.07400000000000001,0.42200000000000004,1.485,1.528,0.611,0.324,0.524,2.006,2.7,79.45100000000001,0.078,1.756,1.051,0.951,5.202000000000001,9.265,6.997999999999999,2.577,1.422,5.978,0.046,0.0,0.0,0.0,0.272,0.868
117,20000531,Materials,277,-0.050265,-0.022222,0.168,0.133,0.7929999999999999,9.216000000000001,2.4,7.069,5.3870000000000005,7.119,7.225,8.288,8.374,0.489,1.219,0.365,0.23,0.08900000000000001,0.08900000000000001,0.08199999999999999,0.254,0.033,0.07400000000000001,0.128,0.095,0.126,0.05,0.121,0.105,0.083,0.41,0.5710000000000001,0.409,0.498,0.38,0.41700000000000004,0.342,0.348,0.10800000000000001,0.032,0.081,0.125,0.578,0.344,2.541,0.615,0.086,0.073,0.43200000000000005,1.5,1.5,0.61,0.326,0.524,2.09,2.7,78.581,0.092,1.8119999999999998,1.054,0.941,5.435,9.203,6.739,2.6260000000000003,1.452,5.977,0.040999999999999995,0.0,0.0,0.0,0.156,0.691
127,20000630,Materials,277,-0.023861,-0.085159,0.168,0.128,0.7929999999999999,9.363,2.7,7.069,5.2010000000000005,6.675,6.782,7.572,7.702999999999999,0.473,1.151,0.365,0.233,0.08900000000000001,0.08900000000000001,0.08199999999999999,0.254,0.032,0.07400000000000001,0.127,0.095,0.126,0.05,0.121,0.105,0.08199999999999999,0.41,0.5670000000000001,0.409,0.498,0.38,0.418,0.335,0.348,0.106,0.032,0.081,0.125,0.578,0.348,2.551,0.62,0.086,0.073,0.431,1.51,1.508,0.61,0.326,0.525,2.09,2.707,79.133,0.091,1.8119999999999998,1.052,0.9490000000000001,5.422999999999999,9.182,6.7379999999999995,2.6430000000000002,1.485,5.9639999999999995,0.04,0.0,0.0,0.0,0.142,0.677
137,20000731,Materials,275,0.004533,0.013876,0.157,0.121,0.7909999999999999,9.405,2.68,7.015,5.0489999999999995,7.0360000000000005,7.081,7.781000000000001,7.757999999999999,0.469,1.122,0.365,0.235,0.085,0.086,0.08199999999999999,0.256,0.032,0.07200000000000001,0.127,0.09300000000000001,0.124,0.049,0.12,0.105,0.081,0.41,0.5710000000000001,0.40700000000000003,0.494,0.385,0.418,0.34299999999999997,0.33399999999999996,0.106,0.032,0.081,0.124,0.5820000000000001,0.34700000000000003,2.551,0.615,0.086,0.073,0.43200000000000005,1.51,1.5330000000000001,0.61,0.324,0.525,1.9980000000000002,2.682,80.179,0.091,1.8119999999999998,1.047,0.96,5.422999999999999,9.182,6.7379999999999995,2.657,1.485,5.933,0.04,0.0,0.0,0.0,0.092,0.705
147,20000831,Materials,274,0.023984000000000002,0.012753,0.161,0.14300000000000002,0.875,9.462,2.52,6.745,4.84,7.515,7.385,8.049,8.166,0.49200000000000005,1.145,0.365,0.23800000000000002,0.08800000000000001,0.08800000000000001,0.08199999999999999,0.252,0.03,0.076,0.126,0.094,0.127,0.05,0.122,0.107,0.083,0.41,0.5710000000000001,0.40399999999999997,0.503,0.384,0.42,0.32899999999999996,0.308,0.105,0.028999999999999998,0.08,0.11900000000000001,0.5770000000000001,0.34700000000000003,2.5669999999999997,0.617,0.09,0.075,0.423,1.485,1.537,0.613,0.326,0.532,1.92,2.623,79.291,0.085,1.764,1.032,0.976,5.518,9.13,6.742000000000001,2.694,1.5530000000000002,6.335,0.040999999999999995,0.0,0.0,0.0,0.057,0.754
157,20000930,Materials,266,-0.067368,-0.078102,0.162,0.11699999999999999,0.8909999999999999,8.869,2.83,6.6739999999999995,4.602,6.51,6.416,6.791,7.115,0.441,1.067,0.365,0.237,0.09,0.08900000000000001,0.08199999999999999,0.251,0.031,0.076,0.126,0.095,0.126,0.051,0.12300000000000001,0.10800000000000001,0.084,0.418,0.569,0.40700000000000003,0.51,0.384,0.42100000000000004,0.332,0.313,0.105,0.028999999999999998,0.08,0.113,0.5770000000000001,0.34600000000000003,2.553,0.618,0.08900000000000001,0.075,0.423,1.485,1.54,0.614,0.326,0.532,1.979,2.6060000000000003,79.291,0.085,1.7930000000000001,1.035,0.976,5.518,9.157,6.746,2.7060000000000004,1.556,6.3229999999999995,0.042,0.0,0.0,0.0,0.036000000000000004,0.662
167,20001031,Materials,264,-0.011434,0.085893,0.174,0.11800000000000001,0.9,8.639,2.67,6.636,4.511,6.494,6.494,6.386,6.754,0.42,1.024,0.364,0.23,0.09,0.09,0.083,0.251,0.031,0.076,0.125,0.095,0.126,0.051,0.122,0.10800000000000001,0.084,0.41,0.5760000000000001,0.40299999999999997,0.51,0.384,0.419,0.302,0.3,0.10400000000000001,0.027000000000000003,0.08,0.11199999999999999,0.562,0.34600000000000003,2.5789999999999997,0.618,0.08900000000000001,0.07400000000000001,0.426,1.446,1.5430000000000001,0.612,0.327,0.531,2.012,2.637,78.02600000000001,0.08199999999999999,1.778,1.025,0.972,5.518,9.13,6.752000000000001,2.66,1.5530000000000002,6.3389999999999995,0.04,0.0,0.0,0.0,-0.0,0.733
177,20001130,Materials,261,-0.087602,-0.036172,0.168,0.14300000000000002,0.968,8.197000000000001,2.79,6.603,4.2219999999999995,6.151,6.1160000000000005,6.468999999999999,6.571000000000001,0.379,0.972,0.364,0.223,0.087,0.086,0.08,0.242,0.03,0.073,0.122,0.09300000000000001,0.125,0.05,0.11800000000000001,0.10400000000000001,0.079,0.41100000000000003,0.58,0.40299999999999997,0.51,0.374,0.41600000000000004,0.313,0.309,0.10400000000000001,0.027000000000000003,0.077,0.134,0.575,0.353,2.54,0.601,0.092,0.076,0.42200000000000004,1.482,1.564,0.614,0.327,0.5329999999999999,1.9580000000000002,2.5639999999999996,78.327,0.07400000000000001,1.74,1.015,0.973,5.519,9.089,6.9079999999999995,2.685,1.5190000000000001,6.181,0.040999999999999995,0.0,0.0,0.0,-0.009000000000000001,0.618
187,20001231,Materials,255,0.034099000000000004,0.14141099999999998,0.17,0.16699999999999998,0.966,7.896,2.49,6.584,4.627,6.62,6.551,7.386,7.386,0.41,1.018,0.364,0.222,0.085,0.085,0.08,0.243,0.03,0.07400000000000001,0.12300000000000001,0.09300000000000001,0.126,0.05,0.11800000000000001,0.10300000000000001,0.079,0.41,0.5870000000000001,0.4,0.498,0.381,0.414,0.314,0.309,0.10400000000000001,0.027000000000000003,0.077,0.131,0.5820000000000001,0.35100000000000003,2.638,0.601,0.092,0.077,0.423,1.482,1.5619999999999998,0.613,0.326,0.531,1.9380000000000002,2.628,78.375,0.07400000000000001,1.765,1.0290000000000001,0.965,5.428,9.152000000000001,6.89,2.648,1.4709999999999999,6.181,0.042,0.0,0.0,0.0,-0.017,0.7290000000000001
197,20010131,Materials,252,0.133139,-0.021639,0.17800000000000002,0.154,0.973,8.886000000000001,2.46,6.5889999999999995,4.933,6.997000000000001,6.653,7.81,7.934,0.434,1.054,0.363,0.221,0.084,0.084,0.079,0.243,0.028999999999999998,0.07400000000000001,0.12300000000000001,0.092,0.124,0.05,0.11800000000000001,0.102,0.075,0.41100000000000003,0.585,0.39899999999999997,0.502,0.382,0.415,0.319,0.311,0.105,0.027000000000000003,0.077,0.129,0.578,0.353,2.608,0.595,0.092,0.075,0.423,1.485,1.5490000000000002,0.613,0.327,0.531,1.956,2.6639999999999997,80.04,0.079,1.777,1.035,0.97,5.374,9.152000000000001,6.865,2.6689999999999996,1.479,6.0520000000000005,0.042,0.0,0.0,0.0,-0.039,0.735
207,20010228,Materials,250,-0.00292,0.012071,0.188,0.249,0.987,9.397,2.47,6.672000000000001,4.63,8.71,8.496,9.658999999999999,9.658999999999999,0.441,1.034,0.363,0.22699999999999998,0.075,0.078,0.076,0.251,0.027999999999999997,0.069,0.121,0.08199999999999999,0.113,0.043,0.115,0.09300000000000001,0.068,0.39,0.593,0.389,0.512,0.4,0.39799999999999996,0.337,0.287,0.10099999999999999,0.023,0.075,0.134,0.581,0.349,2.595,0.5660000000000001,0.1,0.081,0.405,1.494,1.53,0.613,0.32799999999999996,0.531,1.787,2.362,79.77,0.07,1.676,0.975,0.965,5.315,9.943999999999999,6.983,2.6210000000000004,1.4609999999999999,6.433,0.046,0.0,0.0,0.0,-0.09699999999999999,1.044
217,20010331,Materials,248,-0.030858,-0.038243,0.18600000000000003,0.278,0.995,8.87,2.52,6.732,4.56,8.437999999999999,8.274,8.982999999999999,9.2,0.42700000000000005,0.997,0.363,0.22699999999999998,0.07400000000000001,0.076,0.076,0.25,0.027000000000000003,0.066,0.11900000000000001,0.08199999999999999,0.113,0.04,0.114,0.092,0.066,0.39,0.59,0.387,0.514,0.405,0.39399999999999996,0.34600000000000003,0.295,0.10099999999999999,0.023,0.075,0.131,0.578,0.34600000000000003,2.653,0.5670000000000001,0.1,0.08,0.41,1.496,1.525,0.613,0.32799999999999996,0.5329999999999999,1.774,2.362,79.105,0.07,1.676,0.9590000000000001,0.97,5.291,9.856,7.053,2.6210000000000004,1.455,6.492000000000001,0.044000000000000004,0.0,0.0,0.0,-0.07200000000000001,1.04
