,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
100,20000430,Consumer Discretionary,1157,-0.066898,-0.048626,0.0,0.21600000000000003,0.695,9.533,1.69,6.455,4.7219999999999995,7.813,7.76,7.906000000000001,8.048,0.473,1.228,0.38,0.37799999999999995,0.077,0.076,0.081,0.312,0.023,0.055999999999999994,0.08800000000000001,0.10400000000000001,0.157,0.037000000000000005,0.125,0.10800000000000001,0.084,0.265,0.713,0.268,0.389,0.33799999999999997,0.285,0.35600000000000004,0.276,0.11,0.08,0.055999999999999994,0.141,0.483,0.579,1.4569999999999999,0.34600000000000003,0.107,0.08800000000000001,0.321,2.153,1.083,0.536,0.26,0.447,1.99,2.562,82.337,0.172,1.754,1.018,1.381,4.853,10.56,8.932,2.925,1.986,5.371,0.052000000000000005,0.0,0.0,0.0,0.355,0.642
110,20000531,Consumer Discretionary,1148,-0.066258,-0.062312,0.0,0.141,0.706,9.015,1.74,6.452999999999999,4.352,6.7860000000000005,6.489,6.733,6.912999999999999,0.431,1.166,0.38,0.381,0.078,0.076,0.07,0.31,0.024,0.054000000000000006,0.08800000000000001,0.1,0.151,0.037000000000000005,0.121,0.106,0.077,0.26899999999999996,0.705,0.26899999999999996,0.385,0.33399999999999996,0.29100000000000004,0.336,0.262,0.115,0.08,0.057,0.157,0.48200000000000004,0.573,1.4769999999999999,0.35,0.10400000000000001,0.084,0.33899999999999997,2.161,1.079,0.535,0.259,0.452,2.01,2.557,79.373,0.183,1.778,1.034,1.3519999999999999,4.842,10.272,8.61,2.9739999999999998,1.96,5.45,0.047,0.0,0.0,0.0,0.25,0.551
120,20000630,Consumer Discretionary,1138,0.033519,-0.011912,0.0,0.11,0.698,8.793,1.79,6.535,4.223,6.327000000000001,6.055,6.327000000000001,6.483,0.444,1.171,0.38,0.381,0.083,0.079,0.071,0.308,0.024,0.055999999999999994,0.08800000000000001,0.099,0.153,0.037000000000000005,0.121,0.107,0.08,0.26899999999999996,0.708,0.26899999999999996,0.389,0.344,0.292,0.33299999999999996,0.257,0.114,0.076,0.057999999999999996,0.17300000000000001,0.485,0.581,1.4869999999999999,0.344,0.10300000000000001,0.083,0.336,2.17,1.083,0.532,0.254,0.45399999999999996,2.0540000000000003,2.5989999999999998,81.633,0.16699999999999998,1.787,1.02,1.36,4.806,10.047,8.574,3.014,1.9580000000000002,5.4879999999999995,0.045,0.0,0.0,0.0,0.214,0.502
130,20000731,Consumer Discretionary,1127,-0.013972,-0.020022,0.0,0.10300000000000001,0.6990000000000001,8.961,1.81,6.559,4.083,6.114,5.805,6.087000000000001,6.25,0.442,1.158,0.38,0.38299999999999995,0.083,0.078,0.071,0.308,0.024,0.055999999999999994,0.08800000000000001,0.09699999999999999,0.153,0.037000000000000005,0.121,0.105,0.079,0.26899999999999996,0.7070000000000001,0.26899999999999996,0.39,0.344,0.287,0.345,0.26,0.11699999999999999,0.077,0.057999999999999996,0.183,0.48700000000000004,0.58,1.49,0.34700000000000003,0.10300000000000001,0.083,0.335,2.173,1.069,0.532,0.255,0.45399999999999996,2.042,2.585,80.934,0.168,1.7890000000000001,1.02,1.348,4.782,10.096,8.566,3.033,1.9580000000000002,5.542000000000001,0.044000000000000004,0.0,0.0,0.0,0.19399999999999998,0.518
140,20000831,Consumer Discretionary,1119,0.030532999999999998,-0.002206,0.0,0.10400000000000001,0.8079999999999999,9.129,1.75,6.319,4.115,5.935,5.635,6.039,6.236000000000001,0.43200000000000005,1.195,0.379,0.38,0.084,0.081,0.071,0.306,0.023,0.055999999999999994,0.087,0.096,0.14800000000000002,0.037000000000000005,0.121,0.102,0.08199999999999999,0.276,0.7040000000000001,0.276,0.395,0.33899999999999997,0.292,0.35600000000000004,0.245,0.113,0.07400000000000001,0.057,0.175,0.486,0.579,1.4269999999999998,0.363,0.105,0.084,0.33,2.129,1.067,0.5329999999999999,0.262,0.45299999999999996,2.002,2.504,80.521,0.162,1.764,0.993,1.351,4.78,10.045,8.689,3.0460000000000003,1.9769999999999999,5.632000000000001,0.044000000000000004,0.0,0.0,0.0,0.16,0.535
150,20000930,Consumer Discretionary,1110,-0.043847000000000004,-0.028868,0.0,0.109,0.8109999999999999,8.871,1.74,6.23,3.93,5.776,5.617000000000001,5.875,5.9910000000000005,0.413,1.153,0.38,0.382,0.08,0.078,0.071,0.306,0.023,0.055999999999999994,0.08800000000000001,0.095,0.147,0.037000000000000005,0.121,0.1,0.079,0.272,0.703,0.271,0.39399999999999996,0.33299999999999996,0.292,0.35600000000000004,0.24600000000000002,0.11599999999999999,0.075,0.057999999999999996,0.17800000000000002,0.48700000000000004,0.583,1.361,0.358,0.106,0.085,0.327,2.13,1.0659999999999998,0.535,0.259,0.451,1.9880000000000002,2.504,79.895,0.162,1.7480000000000002,0.998,1.349,4.806,9.969,8.611,3.0410000000000004,1.979,5.593,0.044000000000000004,0.0,0.0,0.0,0.155,0.5589999999999999
160,20001031,Consumer Discretionary,1099,-0.048299,-0.023419,0.0,0.1,0.807,8.408,1.7,6.167999999999999,3.9589999999999996,5.686,5.482,5.893,5.978,0.39399999999999996,1.082,0.379,0.379,0.08,0.077,0.071,0.307,0.023,0.055999999999999994,0.087,0.095,0.14800000000000002,0.036000000000000004,0.12,0.1,0.079,0.271,0.7020000000000001,0.27,0.39399999999999996,0.33,0.295,0.358,0.242,0.114,0.075,0.057,0.18100000000000002,0.483,0.5820000000000001,1.3459999999999999,0.35600000000000004,0.106,0.085,0.327,2.1519999999999997,1.061,0.535,0.263,0.449,1.985,2.4930000000000003,79.873,0.161,1.7380000000000002,1.0,1.3530000000000002,4.806,10.008,8.611,3.0269999999999997,1.9769999999999999,5.587999999999999,0.044000000000000004,0.0,0.0,0.0,0.10800000000000001,0.534
170,20001130,Consumer Discretionary,1080,-0.10292799999999999,-0.074584,0.0,0.107,0.8029999999999999,7.992000000000001,1.7,6.204,3.605,5.112,4.89,5.122000000000001,5.24,0.375,0.9740000000000001,0.38,0.38299999999999995,0.079,0.077,0.071,0.304,0.023,0.055999999999999994,0.087,0.095,0.14400000000000002,0.036000000000000004,0.12,0.1,0.076,0.275,0.7040000000000001,0.271,0.39899999999999997,0.33799999999999997,0.289,0.38,0.249,0.114,0.071,0.057,0.18600000000000003,0.479,0.573,1.4709999999999999,0.358,0.11,0.087,0.33899999999999997,2.1919999999999997,1.062,0.536,0.265,0.45299999999999996,2.011,2.46,80.51899999999999,0.152,1.7209999999999999,0.96,1.3530000000000002,4.814,9.939,8.807,3.055,1.945,5.667999999999999,0.045,0.0,0.0,0.0,0.09,0.49
180,20001231,Consumer Discretionary,1058,-0.036724,0.032253,0.0,0.11,0.802,8.068999999999999,1.74,6.242999999999999,3.676,5.135,4.914,5.202999999999999,5.303999999999999,0.37200000000000005,0.96,0.38,0.379,0.076,0.075,0.07,0.305,0.023,0.057,0.08800000000000001,0.096,0.145,0.038,0.12,0.10099999999999999,0.073,0.272,0.705,0.26899999999999996,0.39399999999999996,0.341,0.28300000000000003,0.38299999999999995,0.24600000000000002,0.115,0.071,0.057,0.187,0.48100000000000004,0.568,1.4509999999999998,0.353,0.11,0.087,0.33899999999999997,2.173,1.062,0.535,0.264,0.45,2.039,2.496,80.942,0.152,1.7269999999999999,0.9590000000000001,1.361,4.73,9.96,8.853,3.043,1.936,5.524,0.045,0.0,0.0,0.0,0.084,0.505
190,20010131,Consumer Discretionary,1040,0.268525,0.13388,0.0,0.12,0.797,9.009,1.48,6.275,4.303999999999999,5.9879999999999995,5.667999999999999,6.272,6.337000000000001,0.434,1.162,0.38,0.379,0.078,0.076,0.07,0.307,0.023,0.057,0.08900000000000001,0.09699999999999999,0.146,0.037000000000000005,0.122,0.102,0.075,0.27,0.705,0.267,0.389,0.33899999999999997,0.282,0.381,0.251,0.11800000000000001,0.071,0.057999999999999996,0.18600000000000003,0.48200000000000004,0.5710000000000001,1.453,0.34,0.109,0.087,0.33799999999999997,2.2,1.0590000000000002,0.532,0.264,0.45,2.035,2.5140000000000002,81.672,0.152,1.7309999999999999,0.9620000000000001,1.358,4.691,9.882,8.786,3.011,1.9580000000000002,5.522,0.044000000000000004,0.0,0.0,0.0,0.07,0.583
