,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
192,20010131,Energy,218,0.007814,-0.036039999999999996,0.0,0.086,0.45,19.227,1.24,6.872999999999999,6.497999999999999,9.821,9.821,9.228,9.62,2.501,2.265,0.342,0.21899999999999997,0.11199999999999999,0.11199999999999999,0.09,0.43799999999999994,0.068,0.12300000000000001,0.28800000000000003,0.091,0.126,0.10300000000000001,0.156,0.109,0.099,0.376,0.585,0.38,0.426,0.040999999999999995,0.522,-0.033,0.7759999999999999,0.14800000000000002,0.06,0.205,0.033,1.005,0.3,1.795,0.557,0.09,0.085,0.527,0.799,1.153,0.547,0.313,0.48100000000000004,2.496,2.6489999999999996,41.25899999999999,0.21,1.31,1.1059999999999999,0.478,15.88,5.372999999999999,5.531000000000001,1.071,0.622,8.065,0.076,0.0,0.0,0.0,0.03,0.74
202,20010228,Energy,215,0.002133,-0.0009550000000000001,0.0,0.08199999999999999,0.452,20.156,1.23,7.004,5.624,10.38,9.966000000000001,9.691,9.969,2.218,2.105,0.35100000000000003,0.237,0.122,0.122,0.114,0.46399999999999997,0.086,0.158,0.307,0.11800000000000001,0.155,0.125,0.172,0.14400000000000002,0.11699999999999999,0.337,0.62,0.34299999999999997,0.38299999999999995,0.034,0.5429999999999999,0.037000000000000005,0.917,0.22699999999999998,0.067,0.22899999999999998,0.015,1.19,0.321,1.492,0.495,0.095,0.08800000000000001,0.488,0.816,1.06,0.517,0.27699999999999997,0.46399999999999997,3.053,3.8569999999999998,42.891999999999996,0.22,1.374,1.226,0.532,16.993,5.287999999999999,5.638,1.0170000000000001,0.633,5.917999999999999,0.084,0.0,0.0,0.0,0.09699999999999999,0.8320000000000001
212,20010331,Energy,212,0.008604,-0.004281,0.0,0.079,0.449,20.2,1.33,7.02,5.818,10.106,9.777000000000001,9.62,9.649,2.26,2.186,0.35100000000000003,0.23800000000000002,0.12,0.11900000000000001,0.114,0.461,0.085,0.158,0.3,0.11900000000000001,0.155,0.12300000000000001,0.179,0.146,0.11599999999999999,0.335,0.623,0.34,0.38299999999999995,0.03,0.54,0.05,0.9179999999999999,0.22699999999999998,0.071,0.22699999999999998,0.015,1.193,0.32799999999999996,1.4709999999999999,0.48700000000000004,0.095,0.08800000000000001,0.48700000000000004,0.8190000000000001,1.058,0.516,0.276,0.45899999999999996,3.085,3.88,41.309,0.222,1.4080000000000001,1.232,0.529,17.164,5.318,5.604,1.0170000000000001,0.632,5.654,0.085,0.0,0.0,0.0,0.253,0.922
222,20010430,Energy,214,0.0794,0.10071000000000001,0.0,0.087,0.445,21.628,1.17,6.9879999999999995,6.152,11.091,10.745,10.484000000000002,11.02,2.474,2.438,0.35200000000000004,0.239,0.12,0.11900000000000001,0.114,0.461,0.081,0.152,0.29600000000000004,0.11900000000000001,0.155,0.122,0.18100000000000002,0.146,0.114,0.337,0.619,0.342,0.384,0.03,0.545,0.059000000000000004,0.924,0.22699999999999998,0.071,0.222,0.015,1.148,0.32799999999999996,1.4909999999999999,0.491,0.095,0.08900000000000001,0.48700000000000004,0.8220000000000001,1.058,0.519,0.27899999999999997,0.46399999999999997,3.022,3.835,42.1,0.222,1.393,1.232,0.532,17.089000000000002,5.318,5.586,1.0170000000000001,0.633,5.654,0.08800000000000001,0.0,0.0,0.0,0.247,0.8170000000000001
232,20010531,Energy,215,0.044915,0.001204,0.0,0.046,0.48,20.585,1.15,5.539,5.426,7.42,6.933,7.195,7.8629999999999995,2.1719999999999997,2.21,0.35100000000000003,0.27,0.158,0.159,0.125,0.49700000000000005,0.099,0.182,0.335,0.149,0.19,0.165,0.20199999999999999,0.18100000000000002,0.149,0.354,0.614,0.361,0.39899999999999997,0.036000000000000004,0.527,0.19399999999999998,1.048,0.226,0.071,0.231,0.032,1.294,0.32299999999999995,1.325,0.503,0.094,0.087,0.484,0.802,1.082,0.526,0.295,0.45799999999999996,3.747,5.1610000000000005,46.768,0.225,1.453,1.175,0.569,16.17,5.167999999999999,5.678,1.258,0.733,6.891,0.09300000000000001,0.0,0.0,0.0,0.11800000000000001,0.436
242,20010630,Energy,212,-0.126377,-0.083781,0.0,0.042,0.479,18.089000000000002,1.38,5.54,4.9639999999999995,6.74,6.626,6.667000000000001,7.074,1.929,1.935,0.35100000000000003,0.27,0.162,0.162,0.125,0.49700000000000005,0.1,0.18899999999999997,0.335,0.149,0.193,0.165,0.205,0.182,0.149,0.34600000000000003,0.621,0.35700000000000004,0.397,0.036000000000000004,0.527,0.19,1.089,0.22699999999999998,0.073,0.23600000000000002,0.032,1.3419999999999999,0.325,1.315,0.498,0.094,0.087,0.484,0.802,1.077,0.524,0.294,0.456,3.747,5.287000000000001,46.768,0.23,1.4569999999999999,1.186,0.569,16.474,5.105,5.6739999999999995,1.252,0.733,6.8020000000000005,0.091,0.0,0.0,0.0,0.109,0.401
252,20010731,Energy,211,-0.049654000000000004,-0.024427,0.0,0.04,0.48,18.695999999999998,1.29,5.539,4.901,6.766,6.3870000000000005,6.602,6.896,1.9069999999999998,1.87,0.35100000000000003,0.27,0.162,0.162,0.125,0.49700000000000005,0.1,0.196,0.336,0.15,0.193,0.165,0.20800000000000002,0.183,0.149,0.341,0.623,0.354,0.397,0.036000000000000004,0.527,0.185,1.138,0.226,0.07200000000000001,0.24,0.031,1.3659999999999999,0.327,1.2919999999999998,0.498,0.094,0.087,0.483,0.802,1.075,0.523,0.293,0.456,3.7560000000000002,5.351,46.768,0.225,1.4609999999999999,1.175,0.569,16.474,5.167999999999999,5.66,1.258,0.733,6.846,0.091,0.0,0.0,0.0,0.094,0.37200000000000005
262,20010831,Energy,210,-0.061444000000000006,-0.040455,0.0,0.028999999999999998,0.5529999999999999,17.588,1.45,5.172000000000001,3.83,5.603,5.607,5.497000000000001,5.815,1.5490000000000002,1.554,0.35100000000000003,0.284,0.171,0.171,0.126,0.47700000000000004,0.095,0.209,0.34299999999999997,0.152,0.207,0.17,0.2,0.179,0.15,0.325,0.643,0.316,0.359,0.035,0.522,0.106,1.16,0.226,0.078,0.24100000000000002,0.032,1.395,0.337,1.147,0.442,0.095,0.086,0.46299999999999997,0.7859999999999999,1.006,0.509,0.268,0.43799999999999994,4.2010000000000005,5.517,47.574,0.23199999999999998,1.4880000000000002,1.169,0.597,15.95,5.106,5.756,1.162,0.78,6.221,0.095,0.0,0.0,0.0,0.057999999999999996,0.342
272,20010930,Energy,207,-0.148136,-0.068734,0.0,0.024,0.5670000000000001,14.939,1.81,5.0969999999999995,3.49,5.0,5.0,4.736000000000001,5.079,1.298,1.325,0.35,0.28600000000000003,0.172,0.172,0.126,0.491,0.096,0.212,0.34700000000000003,0.151,0.203,0.17300000000000001,0.21,0.179,0.151,0.325,0.643,0.318,0.358,0.035,0.525,0.092,1.169,0.22699999999999998,0.078,0.251,0.035,1.4240000000000002,0.337,1.1,0.44799999999999995,0.094,0.086,0.467,0.785,0.995,0.508,0.266,0.43799999999999994,4.162,5.419,47.574,0.253,1.489,1.176,0.596,15.749,4.938,5.742999999999999,1.16,0.769,6.084,0.098,0.0,0.0,0.0,0.039,0.28
282,20011031,Energy,205,0.12262,0.056791999999999995,0.0,0.027999999999999997,0.5670000000000001,17.215,1.48,5.0969999999999995,3.685,5.537000000000001,5.537000000000001,5.405,5.617999999999999,1.483,1.5230000000000001,0.35,0.28600000000000003,0.172,0.172,0.126,0.501,0.09699999999999999,0.209,0.34700000000000003,0.151,0.203,0.17,0.213,0.179,0.151,0.325,0.643,0.318,0.358,0.035,0.525,0.077,1.169,0.22699999999999998,0.078,0.252,0.031,1.45,0.337,1.115,0.44799999999999995,0.094,0.085,0.46799999999999997,0.78,0.995,0.508,0.266,0.43799999999999994,4.162,5.403,47.702,0.254,1.51,1.183,0.594,15.548,4.938,5.756,1.159,0.769,6.081,0.099,0.0,0.0,0.0,0.028999999999999998,0.348
