,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
2078,20160930,Real Estate,37,0.015823,-0.010301000000000001,0.055,0.493,0.568,36.137,3.77,15.953,14.402999999999999,19.527,19.527,19.329,19.392,3.763,1.787,0.254,0.095,0.07200000000000001,0.066,0.062,0.385,0.10800000000000001,0.154,0.24600000000000002,0.13,0.08800000000000001,0.159,0.069,0.067,0.063,0.47100000000000003,0.51,0.47100000000000003,0.495,0.0,0.37,0.653,0.902,0.107,0.10099999999999999,0.20600000000000002,0.085,1.0070000000000001,0.282,5.2589999999999995,0.809,0.051,0.05,0.669,1.123,1.235,0.551,0.42,0.51,2.86,2.452,71.919,0.55,1.5530000000000002,1.401,0.19399999999999998,3.565,10.57,7.893,0.584,0.233,4.276,0.017,0.0,0.0,0.0,0.064,1.1340000000000001
2089,20161031,Real Estate,36,-0.022629,-0.056527,0.043,0.42,0.5579999999999999,34.384,3.73,15.800999999999998,13.020999999999999,15.935,16.207,15.432,15.488,3.377,1.7530000000000001,0.27899999999999997,0.099,0.068,0.065,0.066,0.395,0.10099999999999999,0.152,0.252,0.13,0.08800000000000001,0.153,0.073,0.068,0.063,0.45399999999999996,0.511,0.45399999999999996,0.49700000000000005,0.0,0.37,0.65,0.902,0.10800000000000001,0.109,0.19899999999999998,0.081,1.0070000000000001,0.282,5.225,0.779,0.051,0.049,0.6609999999999999,1.123,1.212,0.5589999999999999,0.419,0.51,3.158,2.54,72.553,0.55,1.5530000000000002,1.401,0.21899999999999997,4.938,10.761,7.952000000000001,0.596,0.247,4.276,0.02,0.0,0.0,0.0,0.061,1.004
2100,20161130,Real Estate,36,0.08591599999999999,0.064191,0.06,0.688,0.551,36.545,3.74,16.955,13.773,18.508,18.508,17.480999999999998,16.594,3.6660000000000004,1.855,0.27899999999999997,0.09699999999999999,0.068,0.066,0.061,0.408,0.111,0.156,0.235,0.133,0.171,0.134,0.075,0.065,0.061,0.461,0.525,0.449,0.501,0.0,0.222,0.598,0.8140000000000001,0.10800000000000001,0.10800000000000001,0.193,0.079,0.7709999999999999,0.261,5.138,0.7509999999999999,0.053,0.05,0.659,1.1059999999999999,1.219,0.563,0.41700000000000004,0.493,3.417,2.4290000000000003,75.46600000000001,0.379,1.5959999999999999,1.278,0.23199999999999998,4.63,10.156,8.906,0.612,0.263,5.787000000000001,0.016,0.0,0.0,0.0,0.07,1.199
2111,20161231,Real Estate,37,0.025586,0.013041,0.06,0.523,0.5579999999999999,35.48,3.75,16.147000000000002,13.838,17.364,17.364,17.268,16.77,3.73,2.004,0.27899999999999997,0.094,0.069,0.064,0.059000000000000004,0.381,0.109,0.154,0.23199999999999998,0.091,0.10099999999999999,0.126,0.07,0.066,0.061,0.45399999999999996,0.523,0.451,0.498,0.0,0.222,0.598,0.807,0.107,0.113,0.193,0.078,0.7709999999999999,0.25,5.1339999999999995,0.7509999999999999,0.053,0.05,0.6579999999999999,1.093,1.284,0.564,0.409,0.502,3.168,2.414,75.46600000000001,0.379,1.5959999999999999,1.278,0.18,4.63,9.943,9.283,0.6,0.225,4.3389999999999995,0.018000000000000002,0.0,0.0,0.0,0.069,1.324
2122,20170131,Real Estate,35,,,0.040999999999999995,0.321,0.5589999999999999,39.969,3.16,16.955,14.652000000000001,20.148,20.148,18.939,18.139,4.093999999999999,1.854,0.27899999999999997,0.091,0.068,0.062,0.057,0.408,0.1,0.156,0.231,0.129,0.162,0.134,0.07,0.065,0.06,0.451,0.525,0.449,0.495,0.0,0.183,0.595,0.727,0.10099999999999999,0.11699999999999999,0.192,0.08199999999999999,0.732,0.261,5.138,0.736,0.053,0.051,0.6579999999999999,1.1059999999999999,1.22,0.565,0.4,0.493,2.92,2.4,78.52199999999999,0.39799999999999996,1.6059999999999999,1.288,0.17800000000000002,4.63,11.269,9.658999999999999,0.569,0.217,4.085,0.016,0.0,0.0,0.0,0.063,1.237
