,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
108,20000430,Telecommunication Services,141,-0.212641,-0.097791,0.0,-0.025,0.175,-8.116,1.92,7.667000000000001,6.4670000000000005,-3.9810000000000003,-4.04,-4.197,-4.356,4.78,4.934,0.39299999999999996,0.14300000000000002,-0.019,-0.171,-0.035,0.355,-0.233,-0.121,0.057,-0.077,-0.09300000000000001,-0.235,0.022000000000000002,-0.064,-0.08,0.48100000000000004,0.45299999999999996,0.48100000000000004,0.552,0.011000000000000001,0.368,-0.221,0.055999999999999994,0.021,0.179,-0.031,0.048,0.10800000000000001,0.24100000000000002,0.7559999999999999,0.737,0.11,0.1,0.606,1.7480000000000002,1.219,0.65,0.406,0.606,-0.588,-0.8029999999999999,36.117,0.688,1.7409999999999999,1.595,0.418,16.017,4.754,6.002000000000001,0.958,0.425,1.501,0.092,0.0,0.0,0.0,-0.166,-0.057
118,20000531,Telecommunication Services,141,-0.186501,-0.109923,0.107,-0.01,0.171,-3.445,2.32,7.776,1.053,-3.1839999999999997,-3.055,-3.065,-3.1719999999999997,3.698,3.7939999999999996,0.39399999999999996,0.159,-0.028999999999999998,-0.163,-0.017,0.35,-0.22,-0.099,0.062,-0.087,-0.10800000000000001,-0.24100000000000002,0.023,-0.069,-0.175,0.478,0.45299999999999996,0.485,0.58,0.011000000000000001,0.325,-0.409,0.006,0.021,0.195,-0.023,0.06,0.14800000000000002,0.24600000000000002,0.8909999999999999,0.784,0.10400000000000001,0.09300000000000001,0.606,1.7890000000000001,1.281,0.638,0.41700000000000004,0.586,-0.493,-0.825,36.118,0.888,1.824,1.72,0.386,17.928,4.593,5.77,1.087,0.504,1.805,0.077,0.0,0.0,0.0,-0.098,-0.026000000000000002
128,20000630,Telecommunication Services,144,0.191588,0.048708,0.107,-0.02,0.177,-4.504,2.21,7.218999999999999,-0.402,-4.1739999999999995,-3.713,-3.786,-4.2010000000000005,4.055,4.169,0.39399999999999996,0.158,-0.022000000000000002,-0.163,-0.015,0.348,-0.22399999999999998,-0.115,0.055999999999999994,-0.095,-0.132,-0.251,0.02,-0.068,-0.166,0.45299999999999996,0.45,0.461,0.55,0.011000000000000001,0.32299999999999995,-0.35,-0.001,0.02,0.2,-0.025,0.057999999999999996,0.13699999999999998,0.248,0.713,0.757,0.105,0.09300000000000001,0.604,1.788,1.155,0.636,0.402,0.568,-0.55,-0.825,36.228,0.968,1.824,1.745,0.377,17.955,4.527,5.778,1.0659999999999998,0.499,1.625,0.076,0.0,0.0,0.0,-0.134,-0.057
138,20000731,Telecommunication Services,142,-0.10572899999999999,-0.082936,0.07200000000000001,-0.013999999999999999,0.18100000000000002,-4.466,2.08,7.062,-1.815,-3.505,-3.142,-3.3810000000000002,-3.469,3.748,3.557,0.39399999999999996,0.141,-0.036000000000000004,-0.18600000000000003,-0.017,0.348,-0.231,-0.147,0.036000000000000004,-0.10099999999999999,-0.133,-0.259,0.013999999999999999,-0.069,-0.18100000000000002,0.45299999999999996,0.45,0.461,0.55,0.012,0.32,-0.326,-0.026000000000000002,0.018000000000000002,0.213,-0.03,0.057999999999999996,0.077,0.242,0.451,0.784,0.106,0.09300000000000001,0.611,1.808,1.286,0.636,0.402,0.568,-0.617,-0.8590000000000001,36.118,1.058,1.8619999999999999,1.824,0.373,17.955,4.527,5.757999999999999,1.065,0.485,1.62,0.076,0.0,0.0,0.0,-0.11800000000000001,-0.057
148,20000831,Telecommunication Services,141,-0.0014140000000000001,-0.029809,0.023,-0.008,0.242,-4.948,2.45,7.08,-2.865,-3.248,-2.991,-3.2460000000000004,-3.2460000000000004,3.429,3.19,0.39399999999999996,0.146,-0.102,-0.162,-0.013000000000000001,0.348,-0.248,-0.14,0.02,-0.10300000000000001,-0.11800000000000001,-0.26,0.01,-0.078,-0.16399999999999998,0.433,0.44799999999999995,0.462,0.544,0.017,0.32899999999999996,-0.35,-0.028999999999999998,0.018000000000000002,0.207,-0.046,0.049,0.05,0.23800000000000002,0.349,0.6920000000000001,0.10400000000000001,0.09699999999999999,0.629,1.72,1.131,0.611,0.38,0.568,-0.5670000000000001,-0.9520000000000001,39.306999999999995,1.022,1.8119999999999998,1.715,0.36,17.928,4.492,5.696000000000001,1.008,0.45,1.716,0.081,0.0,0.0,0.0,-0.107,-0.046
158,20000930,Telecommunication Services,139,-0.173292,-0.03776,0.042,-0.004,0.242,-4.684,2.03,6.059,-2.568,-2.4619999999999997,-2.396,-2.342,-2.342,3.187,2.7060000000000004,0.395,0.14400000000000002,-0.109,-0.172,-0.013000000000000001,0.35200000000000004,-0.248,-0.165,0.012,-0.10400000000000001,-0.121,-0.255,0.01,-0.091,-0.16899999999999998,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.537,0.016,0.326,-0.3,-0.042,0.017,0.225,-0.052000000000000005,0.049,0.039,0.23800000000000002,0.32899999999999996,0.6920000000000001,0.10400000000000001,0.09699999999999999,0.647,1.72,1.126,0.598,0.377,0.551,-0.5670000000000001,-0.978,39.734,1.065,1.8769999999999998,1.7890000000000001,0.35,17.928,4.612,5.684,1.008,0.43700000000000006,1.713,0.081,0.0,0.0,0.0,-0.083,-0.047
168,20001031,Telecommunication Services,141,-0.118896,0.010836,0.042,-0.001,0.24600000000000002,-2.8689999999999998,1.99,6.059,-1.581,-1.724,-1.665,-1.571,-1.571,2.978,2.404,0.395,0.145,-0.10800000000000001,-0.172,-0.013000000000000001,0.35200000000000004,-0.24600000000000002,-0.161,0.02,-0.10300000000000001,-0.11900000000000001,-0.252,0.01,-0.08199999999999999,-0.16399999999999998,0.44,0.451,0.44,0.531,0.016,0.32299999999999995,-0.3,-0.042,0.017,0.231,-0.052000000000000005,0.049,0.05,0.254,0.349,0.664,0.10400000000000001,0.098,0.619,1.7069999999999999,1.105,0.598,0.376,0.55,-0.5670000000000001,-0.953,40.02,1.1440000000000001,1.9069999999999998,1.827,0.371,17.928,4.706,5.684,1.013,0.465,1.719,0.081,0.0,0.0,0.0,-0.087,-0.025
178,20001130,Telecommunication Services,143,-0.305236,-0.15834600000000001,0.002,-0.001,0.32299999999999995,-1.425,2.17,5.862,-0.264,-0.885,-0.846,-0.987,-0.987,1.974,1.6130000000000002,0.401,0.131,-0.156,-0.196,-0.015,0.35100000000000003,-0.255,-0.146,0.013000000000000001,-0.099,-0.11699999999999999,-0.255,0.008,-0.085,-0.207,0.39799999999999996,0.451,0.397,0.48200000000000004,0.019,0.33,-0.465,-0.049,0.013999999999999999,0.231,-0.063,0.046,0.027999999999999997,0.256,0.213,0.612,0.105,0.099,0.6409999999999999,1.58,1.026,0.581,0.354,0.527,-0.672,-0.953,37.102,1.004,1.76,1.624,0.332,17.928,4.772,5.422000000000001,0.998,0.433,2.4219999999999997,0.08199999999999999,0.0,0.0,0.0,-0.031,-0.013000000000000001
188,20001231,Telecommunication Services,138,-0.06325700000000001,-0.069386,0.013999999999999999,-0.001,0.324,-1.5390000000000001,2.14,6.093999999999999,-0.183,-1.0190000000000001,-0.987,-1.065,-1.065,2.042,1.5219999999999998,0.401,0.131,-0.135,-0.174,-0.008,0.355,-0.26899999999999996,-0.145,0.016,-0.096,-0.12,-0.272,0.009000000000000001,-0.086,-0.196,0.39799999999999996,0.486,0.39799999999999996,0.474,0.016,0.316,-0.465,-0.048,0.018000000000000002,0.23399999999999999,-0.066,0.044000000000000004,0.028999999999999998,0.22899999999999998,0.258,0.568,0.10400000000000001,0.09699999999999999,0.6409999999999999,1.578,0.992,0.5710000000000001,0.358,0.515,-0.568,-0.898,35.89,1.0270000000000001,1.761,1.64,0.321,17.697,4.79,5.38,0.91,0.4,2.144,0.079,0.0,0.0,0.0,-0.042,-0.013000000000000001
198,20010131,Telecommunication Services,137,0.49352700000000005,0.161601,0.023,-0.002,0.324,-1.912,2.18,5.862,-0.898,-1.645,-1.645,-1.73,-1.73,2.551,1.944,0.405,0.131,-0.156,-0.196,-0.006,0.35200000000000004,-0.263,-0.14300000000000002,0.018000000000000002,-0.092,-0.11699999999999999,-0.257,0.009000000000000001,-0.085,-0.196,0.39799999999999996,0.48700000000000004,0.397,0.466,0.016,0.315,-0.526,-0.059000000000000004,0.016,0.24,-0.063,0.045,0.031,0.24600000000000002,0.231,0.568,0.10400000000000001,0.09699999999999999,0.6409999999999999,1.5759999999999998,0.978,0.562,0.354,0.508,-0.528,-0.858,35.89,1.038,1.794,1.672,0.322,17.697,4.925,5.474,0.899,0.40700000000000003,2.146,0.079,0.0,0.0,0.0,-0.075,-0.021
