,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
106,20000430,Information Technology,1428,-0.235781,-0.127578,0.0,0.14300000000000002,0.192,3.612,0.874,5.689,3.033,-1.966,-2.0140000000000002,-1.555,-1.692,4.0360000000000005,4.305,0.35,0.379,-0.021,-0.042,0.0,0.45299999999999996,-0.034,-0.021,0.023,-0.03,-0.016,-0.037000000000000005,0.028999999999999998,-0.009000000000000001,0.009000000000000001,0.01,0.9790000000000001,0.01,0.045,0.055,0.282,0.5820000000000001,0.033,0.032,0.975,0.023,0.426,0.081,0.897,0.0,0.008,0.165,0.091,0.033,3.156,0.41,0.308,0.036000000000000004,0.14400000000000002,-1.8769999999999998,-1.6280000000000001,80.652,1.266,2.7460000000000004,2.324,0.907,4.792,6.8660000000000005,5.0,1.306,1.159,2.0669999999999997,0.066,0.11800000000000001,0.0,0.0,-0.048,0.253
116,20000531,Information Technology,1454,-0.166035,-0.12337000000000001,0.0,0.084,0.185,-1.169,0.97,5.604,-1.0190000000000001,-1.87,-2.0540000000000003,-1.4809999999999999,-1.514,3.2760000000000002,3.168,0.349,0.36700000000000005,-0.02,-0.052000000000000005,0.0,0.442,-0.039,-0.037000000000000005,0.013999999999999999,-0.048,-0.040999999999999995,-0.04,0.016,-0.013000000000000001,-0.022000000000000002,0.012,0.965,0.013000000000000001,0.045,0.049,0.26899999999999996,0.522,-0.012,0.02,1.115,0.022000000000000002,0.42,0.047,0.884,0.0,0.011000000000000001,0.16699999999999998,0.091,0.042,3.128,0.389,0.287,0.035,0.146,-2.369,-2.217,76.862,1.405,2.988,2.536,0.8590000000000001,4.99,6.862,5.051,1.264,1.113,1.996,0.053,0.12,0.0,0.0,-0.043,0.179
126,20000630,Information Technology,1464,0.196327,0.152574,0.0,0.09,0.18899999999999997,-1.4040000000000001,0.83,5.101,-1.214,-2.339,-2.335,-1.879,-1.9669999999999999,3.904,3.665,0.345,0.366,-0.021,-0.059000000000000004,0.0,0.442,-0.042,-0.04,0.011000000000000001,-0.051,-0.051,-0.04,0.011000000000000001,-0.021,-0.033,0.012,0.965,0.012,0.044000000000000004,0.044000000000000004,0.266,0.527,-0.023,0.02,1.1159999999999999,0.015,0.429,0.035,0.8859999999999999,0.0,0.011000000000000001,0.166,0.091,0.04,3.136,0.39399999999999996,0.29100000000000004,0.035,0.14400000000000002,-2.5660000000000003,-2.441,76.109,1.403,2.9819999999999998,2.532,0.856,5.002,6.871,5.066,1.2570000000000001,1.102,1.992,0.053,0.121,0.0,0.0,-0.057,0.174
136,20000731,Information Technology,1472,-0.090338,-0.058316,0.0,0.084,0.19,-1.056,0.946,4.19,-1.464,-2.0909999999999997,-2.1390000000000002,-1.73,-1.845,3.471,3.259,0.345,0.364,-0.02,-0.062,0.0,0.441,-0.048,-0.046,0.006999999999999999,-0.057999999999999996,-0.055999999999999994,-0.046,0.01,-0.025,-0.034,0.012,0.965,0.012,0.044000000000000004,0.044000000000000004,0.262,0.527,-0.033,0.015,1.12,0.013000000000000001,0.439,0.024,0.887,0.0,0.011000000000000001,0.168,0.091,0.04,3.127,0.39299999999999996,0.29,0.034,0.14300000000000002,-2.991,-2.745,76.109,1.422,2.991,2.552,0.851,4.9639999999999995,6.756,5.058,1.242,1.092,1.954,0.054000000000000006,0.12300000000000001,0.0,0.0,-0.065,0.18
146,20000831,Information Technology,1483,0.099289,0.12939900000000001,0.0,0.08,0.271,-1.7730000000000001,0.853,-0.01,-2.088,-2.167,-2.233,-2.0,-2.031,3.5210000000000004,3.353,0.34299999999999997,0.349,-0.07200000000000001,-0.091,0.0,0.429,-0.063,-0.06,-0.0,-0.07200000000000001,-0.077,-0.069,-0.0,-0.053,-0.068,0.01,0.973,0.009000000000000001,0.043,0.045,0.259,0.524,-0.077,0.001,1.097,0.006999999999999999,0.451,-0.009000000000000001,0.894,0.0,0.009000000000000001,0.168,0.094,0.034,3.1310000000000002,0.374,0.281,0.034,0.13699999999999998,-2.822,-2.9589999999999996,76.949,1.4680000000000002,3.0639999999999996,2.5989999999999998,0.8140000000000001,5.062,7.0360000000000005,5.0489999999999995,1.1840000000000002,1.065,1.8519999999999999,0.059000000000000004,0.124,0.0,0.0,-0.053,-0.006999999999999999
156,20000930,Information Technology,1498,-0.126002,-0.160055,0.0,0.055999999999999994,0.27399999999999997,-1.525,0.889,-0.40700000000000003,-1.9869999999999999,-1.854,-1.8719999999999999,-1.699,-1.75,3.035,2.969,0.344,0.341,-0.079,-0.1,0.0,0.428,-0.066,-0.068,-0.004,-0.08199999999999999,-0.09699999999999999,-0.075,-0.004,-0.053,-0.07400000000000001,0.009000000000000001,0.971,0.009000000000000001,0.043,0.045,0.256,0.528,-0.09300000000000001,-0.011000000000000001,1.11,0.003,0.446,-0.018000000000000002,0.8909999999999999,0.0,0.009000000000000001,0.16899999999999998,0.094,0.034,3.115,0.376,0.281,0.034,0.138,-3.346,-3.34,77.268,1.5019999999999998,3.082,2.625,0.8109999999999999,4.997,6.972,5.055,1.1740000000000002,1.062,1.808,0.06,0.125,0.0,0.0,-0.045,-0.004
166,20001031,Information Technology,1517,-0.14953699999999998,-0.082883,0.0,0.067,0.273,-1.203,0.867,-0.9059999999999999,-1.69,-1.444,-1.462,-1.136,-1.151,2.648,2.383,0.344,0.341,-0.067,-0.102,0.0,0.429,-0.069,-0.071,-0.01,-0.086,-0.099,-0.077,-0.01,-0.051,-0.073,0.01,0.9670000000000001,0.01,0.045,0.043,0.257,0.535,-0.11599999999999999,-0.019,1.097,-0.0,0.44299999999999995,-0.039,0.8909999999999999,0.0,0.009000000000000001,0.16899999999999998,0.095,0.036000000000000004,3.1310000000000002,0.38,0.285,0.036000000000000004,0.14,-3.495,-3.457,77.001,1.472,3.0010000000000003,2.6010000000000004,0.818,5.005,7.015,5.064,1.187,1.073,1.845,0.06,0.125,0.0,0.0,-0.043,-0.004
176,20001130,Information Technology,1523,-0.287427,-0.243851,0.0,0.051,0.32,-0.836,1.01,-2.334,-1.135,-0.943,-0.955,-0.8170000000000001,-0.831,1.673,1.742,0.348,0.332,-0.079,-0.114,0.0,0.42,-0.084,-0.079,-0.013999999999999999,-0.099,-0.125,-0.08800000000000001,-0.013999999999999999,-0.07,-0.094,0.008,0.978,0.009000000000000001,0.04,0.044000000000000004,0.251,0.53,-0.141,-0.026000000000000002,1.102,-0.002,0.462,-0.053,0.899,0.0,0.008,0.17600000000000002,0.09699999999999999,0.028999999999999998,3.115,0.37,0.281,0.031,0.138,-3.5660000000000003,-3.4989999999999997,75.778,1.526,3.0010000000000003,2.5789999999999997,0.794,4.997,7.1370000000000005,5.061,1.139,1.035,1.795,0.061,0.124,0.0,0.0,-0.019,-0.004
186,20001231,Information Technology,1513,-0.100253,-0.084472,0.0,0.045,0.319,-0.475,0.891,-1.931,-0.6709999999999999,-0.6459999999999999,-0.669,-0.5329999999999999,-0.575,1.504,1.5219999999999998,0.34700000000000003,0.33299999999999996,-0.07400000000000001,-0.11199999999999999,0.0,0.42100000000000004,-0.081,-0.076,-0.009000000000000001,-0.094,-0.11199999999999999,-0.084,-0.012,-0.062,-0.08,0.008,0.978,0.008,0.039,0.045,0.251,0.53,-0.138,-0.025,1.112,0.001,0.46,-0.045,0.9,0.0,0.006999999999999999,0.175,0.096,0.028999999999999998,3.0839999999999996,0.365,0.276,0.03,0.138,-3.272,-3.325,75.317,1.535,3.014,2.588,0.797,5.015,7.199,5.048,1.1320000000000001,1.042,1.771,0.059000000000000004,0.12300000000000001,0.0,0.0,-0.015,-0.003
196,20010131,Information Technology,1502,0.49095600000000006,0.162021,0.0,0.055,0.322,-1.022,0.822,-1.93,-1.327,-1.079,-1.15,-0.946,-0.985,2.136,2.146,0.345,0.331,-0.071,-0.11199999999999999,0.0,0.42,-0.083,-0.077,-0.009000000000000001,-0.099,-0.11599999999999999,-0.08900000000000001,-0.012,-0.065,-0.079,0.008,0.977,0.008,0.04,0.045,0.251,0.523,-0.135,-0.026000000000000002,1.111,-0.001,0.45899999999999996,-0.046,0.898,0.0,0.008,0.175,0.096,0.031,3.093,0.365,0.27699999999999997,0.03,0.138,-3.221,-3.272,74.658,1.5390000000000001,3.032,2.588,0.7959999999999999,5.004,7.127000000000001,5.066,1.1320000000000001,1.043,1.7790000000000001,0.06,0.12300000000000001,0.0,0.0,-0.03,-0.006
